PUESTO_SIMPLIFICADO,AÑOS DE SERVICIO,SALARIO
ASESOR SUPERVISOR,11.0,3155337.0
ASESOR SUPERVISOR,12.0,3170821.0
CONTRALOR,17.0,4029819.0
CONTRALOR,18.0,4048294.0
CONTRALOR,33.0,5654387.0
CONTRALOR,34.0,5654387.0
DECANO,14.0,4097562.0
DECANO,15.0,4116111.0
DECANO,16.0,2759823.0
DECANO,17.0,3965623.0
DECANO,18.0,4693586.0
DECANO,19.0,5611438.0
DECANO,22.0,4003250.0
DECANO,28.0,5013166.0
DECANO,29.0,5031715.0
DECANO,30.0,4703612.0
DECANO,31.0,5874190.0
DECANO,32.0,5874190.0
DECANO,33.0,5776039.0
DECANO,34.0,6283769.0
DECANO,35.0,6283770.0
DECANO,36.0,8163542.0
DECANO,37.0,8163543.0
DECANO,40.0,4854733.0
DECANO,41.0,4870706.0
DIRECTOR,0.0,1887171.0
DIRECTOR,1.0,1901727.0
DIRECTOR,2.0,1925548.0
DIRECTOR,3.0,1925548.0
DIRECTOR,5.0,1274262.0
DIRECTOR,6.0,1922868.0
DIRECTOR,7.0,2336153.0
DIRECTOR,8.0,2458505.0
DIRECTOR,9.0,2515925.0
DIRECTOR,10.0,3054767.0
DIRECTOR,11.0,3411562.0
DIRECTOR,12.0,3504964.0
DIRECTOR,13.0,3946858.0
DIRECTOR,14.0,3295989.0
DIRECTOR,15.0,4008248.0
DIRECTOR,16.0,4026798.0
DIRECTOR,17.0,3699224.0
DIRECTOR,18.0,5902510.0
DIRECTOR,19.0,5902510.0
DIRECTOR,20.0,4811353.0
DIRECTOR,21.0,4446057.0
DIRECTOR,22.0,3964380.0
DIRECTOR,23.0,4053724.0
DIRECTOR,24.0,5083821.0
DIRECTOR,25.0,5083821.0
DIRECTOR,26.0,5086554.0
DIRECTOR,27.0,4656570.0
DIRECTOR,28.0,5510757.0
DIRECTOR,29.0,6148717.0
DIRECTOR,30.0,6148718.0
DIRECTOR,31.0,5999777.0
DIRECTOR,32.0,6166543.0
DIRECTOR,33.0,6166545.0
DIRECTOR,34.0,7400131.0
DIRECTOR,35.0,7400132.4
DIRECTOR,36.0,6247194.0
DIRECTOR,37.0,8280916.0
DIRECTOR,38.0,7383015.0
DIRECTOR,39.0,7383015.0
JEFE,1.0,2022079.0
JEFE,2.0,1852173.0
JEFE,7.0,1958888.0
JEFE,8.0,2080445.0
JEFE,9.0,2281033.0
JEFE,10.0,2314229.0
JEFE,11.0,2513298.0
JEFE,12.0,2524793.0
JEFE,13.0,2020282.0
JEFE,14.0,2895895.0
JEFE,15.0,3246408.0
JEFE,16.0,3637148.25
JEFE,17.0,3450816.0
JEFE,18.0,3701450.0
JEFE,19.0,3712945.0
JEFE,20.0,3667182.0
JEFE,21.0,3655666.0
JEFE,22.0,3831699.0
JEFE,23.0,3532589.0
JEFE,24.0,3554079.0
JEFE,25.0,3208054.0
JEFE,27.0,3814430.0
JEFE,28.0,3518509.0
JEFE,29.0,3954890.0
JEFE,30.0,4185398.0
JEFE,31.0,4267929.0
JEFE,32.0,4187900.0
JEFE,33.0,4369973.0
JEFE,34.0,4700281.0
JEFE,35.0,4716281.0
JEFE,36.0,4705784.0
JEFE,37.0,4721784.0
JEFE,38.0,5453487.0
JEFE,39.0,5469487.0
JEFE,40.0,4246259.0
MIEMBRO CONSEJO UNIVERSITARIO,10.0,3903303.0
MIEMBRO CONSEJO UNIVERSITARIO,11.0,3929557.0
MIEMBRO CONSEJO UNIVERSITARIO,12.0,3627627.0
MIEMBRO CONSEJO UNIVERSITARIO,14.0,3932821.0
MIEMBRO CONSEJO UNIVERSITARIO,15.0,3957117.0
MIEMBRO CONSEJO UNIVERSITARIO,17.0,3703301.0
MIEMBRO CONSEJO UNIVERSITARIO,18.0,3727597.0
MIEMBRO CONSEJO UNIVERSITARIO,25.0,4642836.0
MIEMBRO CONSEJO UNIVERSITARIO,26.0,4667132.0
MIEMBRO CONSEJO UNIVERSITARIO,28.0,5901655.0
MIEMBRO CONSEJO UNIVERSITARIO,29.0,5901655.0
MIEMBRO CONSEJO UNIVERSITARIO,32.0,5913373.0
MIEMBRO CONSEJO UNIVERSITARIO,45.0,5513388.0
MIEMBRO CONSEJO UNIVERSITARIO,46.0,5513388.0
PERSONAL EXTRAORDINARIO,0.0,352365.0
PERSONAL EXTRAORDINARIO,1.0,351965.0
PERSONAL EXTRAORDINARIO,2.0,351965.0
PERSONAL EXTRAORDINARIO,5.0,332590.0
PERSONAL EXTRAORDINARIO,6.0,332590.0
PERSONAL EXTRAORDINARIO,11.0,332590.0
PERSONAL VINCULO REMUNERADO,0.0,1020000.0
PERSONAL VINCULO REMUNERADO,1.0,1381856.0
PERSONAL VINCULO REMUNERADO,2.0,750000.0
PERSONAL VINCULO REMUNERADO,3.0,119164.7
PROFESIONAL,0.0,1331151.0
PROFESIONAL,1.0,1419766.25
PROFESIONAL,2.0,1194648.0
PROFESIONAL,3.0,1413784.0
PROFESIONAL,4.0,1667975.0
PROFESIONAL,5.0,1756629.0
PROFESIONAL,6.0,1767168.0
PROFESIONAL,7.0,1811062.0
PROFESIONAL,8.0,1977231.0
PROFESIONAL,9.0,2189628.0
PROFESIONAL,10.0,2334363.0
PROFESIONAL,11.0,2807722.0
PROFESIONAL,12.0,2815829.0
PROFESIONAL,13.0,3165308.0
PROFESIONAL,14.0,3273857.0
PROFESIONAL,15.0,3000037.0
PROFESIONAL,16.0,3677912.0
PROFESIONAL,17.0,3724334.0
PROFESIONAL,18.0,3738233.0
PROFESIONAL,19.0,3465350.0
PROFESIONAL,20.0,3193920.0
PROFESIONAL,21.0,3171774.0
PROFESIONAL,22.0,3182725.0
PROFESIONAL,23.0,3318058.0
PROFESIONAL,24.0,3331957.0
PROFESIONAL,25.0,3322492.0
PROFESIONAL,26.0,3421633.0
PROFESIONAL,27.0,3448581.0
PROFESIONAL,28.0,3574877.0
PROFESIONAL,29.0,3733626.0
PROFESIONAL,30.0,3747525.0
PROFESIONAL,31.0,3945618.0
PROFESIONAL,32.0,3959517.0
PROFESIONAL,33.0,3582523.0
PROFESIONAL,34.0,3677554.0
PROFESIONAL,35.0,3743919.3
PROFESIONAL,36.0,3721182.0
PROFESIONAL,37.0,4186540.7
PROFESIONAL,38.0,3768856.0
PROFESIONAL,39.0,4246055.0
PROFESIONAL,40.0,4259954.0
PROFESIONAL,41.0,3679088.0
