PUESTO_SIMPLIFICADO,PUESTO,CARGO ADMINISTRATIVO,CONTEO,Simp_puesto,Puesto_cargo,Simp_cargo
ASESOR SUPERVISOR ,ASESOR SUPERVISOR,,12,FALSO,FALSO,FALSO
CONTRALOR ,CONTRALOR,,12,FALSO,FALSO,FALSO
CONTRALOR ,SUBCONTRALOR,SUBCONTRALOR UNIVERSITARIO,12,FALSO,FALSO,FALSO
DECANO ,DECANO,,140,FALSO,FALSO,FALSO
DECANO ,DECANO,PROFESIONAL EN MICROBIOLOGÍA,12,FALSO,FALSO,FALSO
DECANO ,DECANO,PROFESIONAL EN ODONTOLOGÍA,11,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,,114,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,DIRECTOR  ,48,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,DIRECTOR DE LA OFICINA DE BIENESTAR Y SALUD,12,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,DIRECTOR(A) DEL CANAL UCR,12,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,DIRECTOR(A) DEL SEMANARIO UNIVERSIDAD,12,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,"DIRECTOR(A) DEL SISTEMA DE BIBLIOTECAS, DOCUMENTACIÓN E INFORMACIÓN",12,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR,DIRECTOR(A) DEL SISTEMA RADIOFÓNICO DE LA UNIVERSIDAD DE COSTA RICA,12,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR CENTRO INVESTIGACION,,201,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR CENTRO REGIONAL,,70,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR CIL,,11,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR DE ESCUELA,,537,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR ESTACION EXPERIMENTAL,,35,FALSO,FALSO,FALSO
DIRECTOR ,DIRECTOR INSTITUTO INVESTIGACION,,95,FALSO,FALSO,FALSO
JEFE,JEFE A,,62,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE ADMINISTRACIÓN DE SALARIOS,12,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE ADQUISICIÓN DE SUMINISTROS,12,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE BECAS SOCIOECONÓMICAS,12,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE BENEFICIOS COMPLEMENTARIOS,12,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE BIENES INSTITUCIONALES,12,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE CAJAS,12,FALSO,FALSO,FALSO
JEFE,JEFE A,JEFE DE COBROS ESTUDIANTILES,8,FALSO,FALSO,FALSO
